port_transport_number;port;transport;transport_number;service_name;description
2072_6;2072;tcp;6;msync;GlobeCast mSync
2072_17;2072;udp;17;msync;GlobeCast mSync
2073_6;2073;tcp;6;gxs-data-port;DataReel Database Socket
2073_17;2073;udp;17;gxs-data-port;DataReel Database Socket
2074_6;2074;tcp;6;vrtl-vmf-sa;Vertel VMF SA
2074_17;2074;udp;17;vrtl-vmf-sa;Vertel VMF SA
2075_6;2075;tcp;6;newlixengine;Newlix ServerWare Engine
2075_17;2075;udp;17;newlixengine;Newlix ServerWare Engine
2076_6;2076;tcp;6;newlixconfig;Newlix JSPConfig
2076_17;2076;udp;17;newlixconfig;Newlix JSPConfig
2077_6;2077;tcp;6;tsrmagt;Old Tivoli Storage Manager
2077_17;2077;udp;17;tsrmagt;Old Tivoli Storage Manager
2078_6;2078;tcp;6;tpcsrvr;IBM Total Productivity Center Server
2078_17;2078;udp;17;tpcsrvr;IBM Total Productivity Center Server
2079_6;2079;tcp;6;idware-router;IDWARE Router Port
2079_17;2079;udp;17;idware-router;IDWARE Router Port
2080_6;2080;tcp;6;autodesk-nlm;Autodesk NLM (FLEXlm)
2080_17;2080;udp;17;autodesk-nlm;Autodesk NLM (FLEXlm)
2081_6;2081;tcp;6;kme-trap-port;KME PRINTER TRAP PORT
2081_17;2081;udp;17;kme-trap-port;KME PRINTER TRAP PORT
2082_6;2082;tcp;6;infowave;Infowave Mobility Server
2082_17;2082;udp;17;infowave;Infowave Mobility Server
2083_6;2083;tcp;6;radsec;Secure Radius Service
2083_17;2083;udp;17;radsec;Secure Radius Service
2084_6;2084;tcp;6;sunclustergeo;SunCluster Geographic
2084_17;2084;udp;17;sunclustergeo;SunCluster Geographic
2085_6;2085;tcp;6;ada-cip;ADA Control
2085_17;2085;udp;17;ada-cip;ADA Control
2086_6;2086;tcp;6;gnunet;GNUnet
2086_17;2086;udp;17;gnunet;GNUnet
2087_6;2087;tcp;6;eli;ELI - Event Logging Integration
2087_17;2087;udp;17;eli;ELI - Event Logging Integration
2088_6;2088;tcp;6;ip-blf;IP Busy Lamp Field
2088_17;2088;udp;17;ip-blf;IP Busy Lamp Field
2089_6;2089;tcp;6;sep;Security Encapsulation Protocol - SEP
2089_17;2089;udp;17;sep;Security Encapsulation Protocol - SEP
2090_6;2090;tcp;6;lrp;Load Report Protocol
2090_17;2090;udp;17;lrp;Load Report Protocol
2091_6;2091;tcp;6;prp;PRP
2091_17;2091;udp;17;prp;PRP
2092_6;2092;tcp;6;descent3;Descent 3
2092_17;2092;udp;17;descent3;Descent 3
2093_6;2093;tcp;6;nbx-cc;NBX CC
2093_17;2093;udp;17;nbx-cc;NBX CC
2094_6;2094;tcp;6;nbx-au;NBX AU
2094_17;2094;udp;17;nbx-au;NBX AU
2095_6;2095;tcp;6;nbx-ser;NBX SER
2095_17;2095;udp;17;nbx-ser;NBX SER
2096_6;2096;tcp;6;nbx-dir;NBX DIR
2096_17;2096;udp;17;nbx-dir;NBX DIR
2097_6;2097;tcp;6;jetformpreview;Jet Form Preview
2097_17;2097;udp;17;jetformpreview;Jet Form Preview
2098_6;2098;tcp;6;dialog-port;Dialog Port
2098_17;2098;udp;17;dialog-port;Dialog Port
2099_6;2099;tcp;6;h2250-annex-g;H.225.0 Annex G Signalling
2099_17;2099;udp;17;h2250-annex-g;H.225.0 Annex G Signalling
2100_6;2100;tcp;6;amiganetfs;Amiga Network Filesystem
2100_17;2100;udp;17;amiganetfs;Amiga Network Filesystem
2101_6;2101;tcp;6;rtcm-sc104;rtcm-sc104
2101_17;2101;udp;17;rtcm-sc104;rtcm-sc104
2102_6;2102;tcp;6;zephyr-srv;Zephyr server
2102_17;2102;udp;17;zephyr-srv;Zephyr server
2103_6;2103;tcp;6;zephyr-clt;Zephyr serv-hm connection
2103_17;2103;udp;17;zephyr-clt;Zephyr serv-hm connection
2104_6;2104;tcp;6;zephyr-hm;Zephyr hostmanager
2104_17;2104;udp;17;zephyr-hm;Zephyr hostmanager
2105_6;2105;tcp;6;minipay;MiniPay
2105_17;2105;udp;17;minipay;MiniPay
2106_6;2106;tcp;6;mzap;MZAP
2106_17;2106;udp;17;mzap;MZAP
2107_6;2107;tcp;6;bintec-admin;BinTec Admin
2107_17;2107;udp;17;bintec-admin;BinTec Admin
2108_6;2108;tcp;6;comcam;Comcam
2108_17;2108;udp;17;comcam;Comcam
2109_6;2109;tcp;6;ergolight;Ergolight
2109_17;2109;udp;17;ergolight;Ergolight
2110_6;2110;tcp;6;umsp;UMSP
2110_17;2110;udp;17;umsp;UMSP
2111_6;2111;tcp;6;dsatp;OPNET Dynamic Sampling Agent Transaction Protocol
2111_17;2111;udp;17;dsatp;OPNET Dynamic Sampling Agent Transaction Protocol
2112_6;2112;tcp;6;idonix-metanet;Idonix MetaNet
2112_17;2112;udp;17;idonix-metanet;Idonix MetaNet
2113_6;2113;tcp;6;hsl-storm;HSL StoRM
2113_17;2113;udp;17;hsl-storm;HSL StoRM
2114_6;2114;tcp;6;ariascribe;Classical Music Meta-Data Access and Enhancement
2114_17;2114;udp;17;ariascribe;Classical Music Meta-Data Access and Enhancement
2115_6;2115;tcp;6;kdm;Key Distribution Manager
2115_17;2115;udp;17;kdm;Key Distribution Manager
2116_6;2116;tcp;6;ccowcmr;CCOWCMR
2116_17;2116;udp;17;ccowcmr;CCOWCMR
2117_6;2117;tcp;6;mentaclient;MENTACLIENT
2117_17;2117;udp;17;mentaclient;MENTACLIENT
2118_6;2118;tcp;6;mentaserver;MENTASERVER
2118_17;2118;udp;17;mentaserver;MENTASERVER
2119_6;2119;tcp;6;gsigatekeeper;GSIGATEKEEPER
2119_17;2119;udp;17;gsigatekeeper;GSIGATEKEEPER
2120_6;2120;tcp;6;qencp;Quick Eagle Networks CP
2120_17;2120;udp;17;qencp;Quick Eagle Networks CP
2121_6;2121;tcp;6;scientia-ssdb;SCIENTIA-SSDB
2121_17;2121;udp;17;scientia-ssdb;SCIENTIA-SSDB
2122_6;2122;tcp;6;caupc-remote;CauPC Remote Control
2122_17;2122;udp;17;caupc-remote;CauPC Remote Control
2123_6;2123;tcp;6;gtp-control;GTP-Control Plane (3GPP)
2123_17;2123;udp;17;gtp-control;GTP-Control Plane (3GPP)
2124_6;2124;tcp;6;elatelink;ELATELINK
2124_17;2124;udp;17;elatelink;ELATELINK
2125_6;2125;tcp;6;lockstep;LOCKSTEP
2125_17;2125;udp;17;lockstep;LOCKSTEP
2126_6;2126;tcp;6;pktcable-cops;PktCable-COPS
2126_17;2126;udp;17;pktcable-cops;PktCable-COPS
2127_6;2127;tcp;6;index-pc-wb;INDEX-PC-WB
2127_17;2127;udp;17;index-pc-wb;INDEX-PC-WB
2128_6;2128;tcp;6;net-steward;Net Steward Control
2128_17;2128;udp;17;net-steward;Net Steward Control
2129_6;2129;tcp;6;cs-live;cs-live.com
2129_17;2129;udp;17;cs-live;cs-live.com
2130_6;2130;tcp;6;xds;XDS
2130_17;2130;udp;17;xds;XDS
2131_6;2131;tcp;6;avantageb2b;Avantageb2b
2131_17;2131;udp;17;avantageb2b;Avantageb2b
2132_6;2132;tcp;6;solera-epmap;SoleraTec End Point Map
2132_17;2132;udp;17;solera-epmap;SoleraTec End Point Map
2133_6;2133;tcp;6;zymed-zpp;ZYMED-ZPP
2133_17;2133;udp;17;zymed-zpp;ZYMED-ZPP
2134_6;2134;tcp;6;avenue;AVENUE
2134_17;2134;udp;17;avenue;AVENUE
2135_6;2135;tcp;6;gris;Grid Resource Information Server
2135_17;2135;udp;17;gris;Grid Resource Information Server
2136_6;2136;tcp;6;appworxsrv;APPWORXSRV
2136_17;2136;udp;17;appworxsrv;APPWORXSRV
2137_6;2137;tcp;6;connect;CONNECT
2137_17;2137;udp;17;connect;CONNECT
2138_6;2138;tcp;6;unbind-cluster;UNBIND-CLUSTER
2138_17;2138;udp;17;unbind-cluster;UNBIND-CLUSTER
2139_6;2139;tcp;6;ias-auth;IAS-AUTH
2139_17;2139;udp;17;ias-auth;IAS-AUTH
2140_6;2140;tcp;6;ias-reg;IAS-REG
2140_17;2140;udp;17;ias-reg;IAS-REG
2141_6;2141;tcp;6;ias-admind;IAS-ADMIND
2141_17;2141;udp;17;ias-admind;IAS-ADMIND
2142_6;2142;tcp;6;tdmoip;TDM OVER IP
2142_17;2142;udp;17;tdmoip;TDM OVER IP
2143_6;2143;tcp;6;lv-jc;Live Vault Job Control
2143_17;2143;udp;17;lv-jc;Live Vault Job Control
2144_6;2144;tcp;6;lv-ffx;Live Vault Fast Object Transfer
2144_17;2144;udp;17;lv-ffx;Live Vault Fast Object Transfer
2145_6;2145;tcp;6;lv-pici;Live Vault Remote Diagnostic Console Support
2145_17;2145;udp;17;lv-pici;Live Vault Remote Diagnostic Console Support
2146_6;2146;tcp;6;lv-not;Live Vault Admin Event Notification
2146_17;2146;udp;17;lv-not;Live Vault Admin Event Notification
2147_6;2147;tcp;6;lv-auth;Live Vault Authentication
2147_17;2147;udp;17;lv-auth;Live Vault Authentication
2148_6;2148;tcp;6;veritas-ucl;VERITAS UNIVERSAL COMMUNICATION LAYER
2148_17;2148;udp;17;veritas-ucl;VERITAS UNIVERSAL COMMUNICATION LAYER
2149_6;2149;tcp;6;acptsys;ACPTSYS
2149_17;2149;udp;17;acptsys;ACPTSYS
2150_6;2150;tcp;6;dynamic3d;DYNAMIC3D
2150_17;2150;udp;17;dynamic3d;DYNAMIC3D
2151_6;2151;tcp;6;docent;DOCENT
2151_17;2151;udp;17;docent;DOCENT
2152_6;2152;tcp;6;gtp-user;GTP-User Plane (3GPP)
2152_17;2152;udp;17;gtp-user;GTP-User Plane (3GPP)
2153_6;2153;tcp;6;ctlptc;Control Protocol
2153_17;2153;udp;17;ctlptc;Control Protocol
2154_6;2154;tcp;6;stdptc;Standard Protocol
2154_17;2154;udp;17;stdptc;Standard Protocol
2155_6;2155;tcp;6;brdptc;Bridge Protocol
2155_17;2155;udp;17;brdptc;Bridge Protocol
2156_6;2156;tcp;6;trp;Talari Reliable Protocol
2156_17;2156;udp;17;trp;Talari Reliable Protocol
2157_6;2157;tcp;6;xnds;Xerox Network Document Scan Protocol
2157_17;2157;udp;17;xnds;Xerox Network Document Scan Protocol
2158_6;2158;tcp;6;touchnetplus;TouchNetPlus Service
2158_17;2158;udp;17;touchnetplus;TouchNetPlus Service
2159_6;2159;tcp;6;gdbremote;GDB Remote Debug Port
2159_17;2159;udp;17;gdbremote;GDB Remote Debug Port
2160_6;2160;tcp;6;apc-2160;APC 2160
2160_17;2160;udp;17;apc-2160;APC 2160
2161_6;2161;tcp;6;apc-2161;APC 2161
2161_17;2161;udp;17;apc-2161;APC 2161
2162_6;2162;tcp;6;navisphere;Navisphere
2162_17;2162;udp;17;navisphere;Navisphere
2163_6;2163;tcp;6;navisphere-sec;Navisphere Secure
2163_17;2163;udp;17;navisphere-sec;Navisphere Secure
2164_6;2164;tcp;6;ddns-v3;Dynamic DNS Version 3
2164_17;2164;udp;17;ddns-v3;Dynamic DNS Version 3
2165_6;2165;tcp;6;x-bone-api;X-Bone API
2165_17;2165;udp;17;x-bone-api;X-Bone API
2166_6;2166;tcp;6;iwserver;iwserver
2166_17;2166;udp;17;iwserver;iwserver
2167_6;2167;tcp;6;raw-serial;Raw Async Serial Link
2167_17;2167;udp;17;raw-serial;Raw Async Serial Link
2168_6;2168;tcp;6;easy-soft-mux;easy-soft Multiplexer
2168_17;2168;udp;17;easy-soft-mux;easy-soft Multiplexer
2169_6;2169;tcp;6;brain;Backbone for Academic Information Notification (BRAIN)
2169_17;2169;udp;17;brain;Backbone for Academic Information Notification (BRAIN)
2170_6;2170;tcp;6;eyetv;EyeTV Server Port
2170_17;2170;udp;17;eyetv;EyeTV Server Port
2171_6;2171;tcp;6;msfw-storage;MS Firewall Storage
2171_17;2171;udp;17;msfw-storage;MS Firewall Storage
2172_6;2172;tcp;6;msfw-s-storage;MS Firewall SecureStorage
2172_17;2172;udp;17;msfw-s-storage;MS Firewall SecureStorage
2173_6;2173;tcp;6;msfw-replica;MS Firewall Replication
2173_17;2173;udp;17;msfw-replica;MS Firewall Replication
2174_6;2174;tcp;6;msfw-array;MS Firewall Intra Array
2174_17;2174;udp;17;msfw-array;MS Firewall Intra Array
2175_6;2175;tcp;6;airsync;Microsoft Desktop AirSync Protocol
2175_17;2175;udp;17;airsync;Microsoft Desktop AirSync Protocol
2176_6;2176;tcp;6;rapi;Microsoft ActiveSync Remote API
2176_17;2176;udp;17;rapi;Microsoft ActiveSync Remote API
2177_6;2177;tcp;6;qwave;qWAVE Bandwidth Estimate
2177_17;2177;udp;17;qwave;qWAVE Bandwidth Estimate
2178_6;2178;tcp;6;bitspeer;Peer Services for BITS
2178_17;2178;udp;17;bitspeer;Peer Services for BITS
2179_6;2179;tcp;6;vmrdp;Microsoft RDP for virtual machines
2179_17;2179;udp;17;vmrdp;Microsoft RDP for virtual machines
2180_6;2180;tcp;6;mc-gt-srv;Millicent Vendor Gateway Server
2180_17;2180;udp;17;mc-gt-srv;Millicent Vendor Gateway Server
2181_6;2181;tcp;6;eforward;eforward
2181_17;2181;udp;17;eforward;eforward
2182_6;2182;tcp;6;cgn-stat;CGN status
2182_17;2182;udp;17;cgn-stat;CGN status
2183_6;2183;tcp;6;cgn-config;Code Green configuration
2183_17;2183;udp;17;cgn-config;Code Green configuration
2184_6;2184;tcp;6;nvd;NVD User
2184_17;2184;udp;17;nvd;NVD User
2185_6;2185;tcp;6;onbase-dds;OnBase Distributed Disk Services
2185_17;2185;udp;17;onbase-dds;OnBase Distributed Disk Services
2186_6;2186;tcp;6;gtaua;Guy-Tek Automated Update Applications
2186_17;2186;udp;17;gtaua;Guy-Tek Automated Update Applications
2187_6;2187;tcp;6;ssmc;Sepehr System Management Control
2187_17;2187;udp;17;ssmd;Sepehr System Management Data
2188_6;2188;tcp;6;radware-rpm;Radware Resource Pool Manager
2188_17;2188;udp;17;;Reserved
2189_6;2189;tcp;6;radware-rpm-s;Secure Radware Resource Pool Manager
2189_17;2189;udp;17;;Reserved
2190_6;2190;tcp;6;tivoconnect;TiVoConnect Beacon
2190_17;2190;udp;17;tivoconnect;TiVoConnect Beacon
2191_6;2191;tcp;6;tvbus;TvBus Messaging
2191_17;2191;udp;17;tvbus;TvBus Messaging
2192_6;2192;tcp;6;asdis;ASDIS software management
2192_17;2192;udp;17;asdis;ASDIS software management
2193_6;2193;tcp;6;drwcs;Dr.Web Enterprise Management Service
2193_17;2193;udp;17;drwcs;Dr.Web Enterprise Management Service
2197_6;2197;tcp;6;mnp-exchange;MNP data exchange
2197_17;2197;udp;17;mnp-exchange;MNP data exchange
2198_6;2198;tcp;6;onehome-remote;OneHome Remote Access
2198_17;2198;udp;17;onehome-remote;OneHome Remote Access
2199_6;2199;tcp;6;onehome-help;OneHome Service Port
2199_17;2199;udp;17;onehome-help;OneHome Service Port
2200_6;2200;tcp;6;;Reserved
2200_17;2200;udp;17;;Reserved
2201_6;2201;tcp;6;ats;Advanced Training System Program
2201_17;2201;udp;17;ats;Advanced Training System Program
2202_6;2202;tcp;6;imtc-map;Int. Multimedia Teleconferencing Cosortium
2202_17;2202;udp;17;imtc-map;Int. Multimedia Teleconferencing Cosortium
2203_6;2203;tcp;6;b2-runtime;b2 Runtime Protocol
2203_17;2203;udp;17;b2-runtime;b2 Runtime Protocol
2204_6;2204;tcp;6;b2-license;b2 License Server
2204_17;2204;udp;17;b2-license;b2 License Server
2205_6;2205;tcp;6;jps;Java Presentation Server
2205_17;2205;udp;17;jps;Java Presentation Server
2206_6;2206;tcp;6;hpocbus;HP OpenCall bus
2206_17;2206;udp;17;hpocbus;HP OpenCall bus
2207_6;2207;tcp;6;hpssd;HP Status and Services
2207_17;2207;udp;17;hpssd;HP Status and Services
2208_6;2208;tcp;6;hpiod;HP I/O Backend
2208_17;2208;udp;17;hpiod;HP I/O Backend
2209_6;2209;tcp;6;rimf-ps;HP RIM for Files Portal Service
2209_17;2209;udp;17;rimf-ps;HP RIM for Files Portal Service
2210_6;2210;tcp;6;noaaport;NOAAPORT Broadcast Network
2210_17;2210;udp;17;noaaport;NOAAPORT Broadcast Network
2211_6;2211;tcp;6;emwin;EMWIN
2211_17;2211;udp;17;emwin;EMWIN
2212_6;2212;tcp;6;leecoposserver;LeeCO POS Server Service
2212_17;2212;udp;17;leecoposserver;LeeCO POS Server Service
2213_6;2213;tcp;6;kali;Kali
2213_17;2213;udp;17;kali;Kali
2214_6;2214;tcp;6;rpi;RDQ Protocol Interface
2214_17;2214;udp;17;rpi;RDQ Protocol Interface
2215_6;2215;tcp;6;ipcore;IPCore.co.za GPRS
2215_17;2215;udp;17;ipcore;IPCore.co.za GPRS
2216_6;2216;tcp;6;vtu-comms;VTU data service
2216_17;2216;udp;17;vtu-comms;VTU data service
2217_6;2217;tcp;6;gotodevice;GoToDevice Device Management
2217_17;2217;udp;17;gotodevice;GoToDevice Device Management
2218_6;2218;tcp;6;bounzza;Bounzza IRC Proxy
2218_17;2218;udp;17;bounzza;Bounzza IRC Proxy
2219_6;2219;tcp;6;netiq-ncap;NetIQ NCAP Protocol
2219_17;2219;udp;17;netiq-ncap;NetIQ NCAP Protocol
2220_6;2220;tcp;6;netiq;NetIQ End2End
2220_17;2220;udp;17;netiq;NetIQ End2End
2221_6;2221;tcp;6;ethernet-ip-s;EtherNet/IP over TLS
2221_17;2221;udp;17;ethernet-ip-s;EtherNet/IP over DTLS
2223_6;2223;tcp;6;rockwell-csp2;Rockwell CSP2
2223_17;2223;udp;17;rockwell-csp2;Rockwell CSP2
2224_6;2224;tcp;6;efi-mg;Easy Flexible Internet/Multiplayer Games
2224_17;2224;udp;17;efi-mg;Easy Flexible Internet/Multiplayer Games
2225_6;2225;tcp;6;rcip-itu;Resource Connection Initiation Protocol
2225_17;2225;udp;17;;Reserved
2225_132;2225;sctp;132;rcip-itu;Resource Connection Initiation Protocol
2226_6;2226;tcp;6;di-drm;Digital Instinct DRM
2226_17;2226;udp;17;di-drm;Digital Instinct DRM
2227_6;2227;tcp;6;di-msg;DI Messaging Service
2227_17;2227;udp;17;di-msg;DI Messaging Service
2228_6;2228;tcp;6;ehome-ms;eHome Message Server
2228_17;2228;udp;17;ehome-ms;eHome Message Server
2229_6;2229;tcp;6;datalens;DataLens Service
2229_17;2229;udp;17;datalens;DataLens Service
2230_6;2230;tcp;6;queueadm;MetaSoft Job Queue Administration Service
2230_17;2230;udp;17;queueadm;MetaSoft Job Queue Administration Service
2231_6;2231;tcp;6;wimaxasncp;WiMAX ASN Control Plane Protocol
2231_17;2231;udp;17;wimaxasncp;WiMAX ASN Control Plane Protocol
2232_6;2232;tcp;6;ivs-video;IVS Video default
2232_17;2232;udp;17;ivs-video;IVS Video default
2233_6;2233;tcp;6;infocrypt;INFOCRYPT
2233_17;2233;udp;17;infocrypt;INFOCRYPT
2234_6;2234;tcp;6;directplay;DirectPlay
2234_17;2234;udp;17;directplay;DirectPlay
2235_6;2235;tcp;6;sercomm-wlink;Sercomm-WLink
2235_17;2235;udp;17;sercomm-wlink;Sercomm-WLink
2236_6;2236;tcp;6;nani;Nani
2236_17;2236;udp;17;nani;Nani
2237_6;2237;tcp;6;optech-port1-lm;Optech Port1 License Manager
2237_17;2237;udp;17;optech-port1-lm;Optech Port1 License Manager
2238_6;2238;tcp;6;aviva-sna;AVIVA SNA SERVER
2238_17;2238;udp;17;aviva-sna;AVIVA SNA SERVER
2239_6;2239;tcp;6;imagequery;Image Query
2239_17;2239;udp;17;imagequery;Image Query
2240_6;2240;tcp;6;recipe;RECIPe
2240_17;2240;udp;17;recipe;RECIPe
2241_6;2241;tcp;6;ivsd;IVS Daemon
2241_17;2241;udp;17;ivsd;IVS Daemon
2242_6;2242;tcp;6;foliocorp;Folio Remote Server
2242_17;2242;udp;17;foliocorp;Folio Remote Server
2243_6;2243;tcp;6;magicom;Magicom Protocol
2243_17;2243;udp;17;magicom;Magicom Protocol
2244_6;2244;tcp;6;nmsserver;NMS Server
2244_17;2244;udp;17;nmsserver;NMS Server
2245_6;2245;tcp;6;hao;HaO
2245_17;2245;udp;17;hao;HaO
2246_6;2246;tcp;6;pc-mta-addrmap;PacketCable MTA Addr Map
2246_17;2246;udp;17;pc-mta-addrmap;PacketCable MTA Addr Map
2247_6;2247;tcp;6;antidotemgrsvr;Antidote Deployment Manager Service
2247_17;2247;udp;17;antidotemgrsvr;Antidote Deployment Manager Service
2248_6;2248;tcp;6;ums;User Management Service
2248_17;2248;udp;17;ums;User Management Service
2249_6;2249;tcp;6;rfmp;RISO File Manager Protocol
2249_17;2249;udp;17;rfmp;RISO File Manager Protocol
2250_6;2250;tcp;6;remote-collab;remote-collab
2250_17;2250;udp;17;remote-collab;remote-collab
2251_6;2251;tcp;6;dif-port;Distributed Framework Port
2251_17;2251;udp;17;dif-port;Distributed Framework Port
2252_6;2252;tcp;6;njenet-ssl;NJENET using SSL
2252_17;2252;udp;17;njenet-ssl;NJENET using SSL
2253_6;2253;tcp;6;dtv-chan-req;DTV Channel Request
2253_17;2253;udp;17;dtv-chan-req;DTV Channel Request
2254_6;2254;tcp;6;seispoc;Seismic P.O.C. Port
2254_17;2254;udp;17;seispoc;Seismic P.O.C. Port
2255_6;2255;tcp;6;vrtp;VRTP - ViRtue Transfer Protocol
2255_17;2255;udp;17;vrtp;VRTP - ViRtue Transfer Protocol
2256_6;2256;tcp;6;pcc-mfp;PCC MFP
2256_17;2256;udp;17;pcc-mfp;PCC MFP
2257_6;2257;tcp;6;simple-tx-rx;simple text/file transfer
2257_17;2257;udp;17;simple-tx-rx;simple text/file transfer
2258_6;2258;tcp;6;rcts;Rotorcraft Communications Test System
2258_17;2258;udp;17;rcts;Rotorcraft Communications Test System
2260_6;2260;tcp;6;apc-2260;APC 2260
2260_17;2260;udp;17;apc-2260;APC 2260
2261_6;2261;tcp;6;comotionmaster;CoMotion Master Server
2261_17;2261;udp;17;comotionmaster;CoMotion Master Server
2262_6;2262;tcp;6;comotionback;CoMotion Backup Server
2262_17;2262;udp;17;comotionback;CoMotion Backup Server
2263_6;2263;tcp;6;ecwcfg;ECweb Configuration Service
2263_17;2263;udp;17;ecwcfg;ECweb Configuration Service
2264_6;2264;tcp;6;apx500api-1;Audio Precision Apx500 API Port 1
2264_17;2264;udp;17;apx500api-1;Audio Precision Apx500 API Port 1
2265_6;2265;tcp;6;apx500api-2;Audio Precision Apx500 API Port 2
2265_17;2265;udp;17;apx500api-2;Audio Precision Apx500 API Port 2
2266_6;2266;tcp;6;mfserver;M-Files Server
2266_17;2266;udp;17;mfserver;M-files Server
2267_6;2267;tcp;6;ontobroker;OntoBroker
2267_17;2267;udp;17;ontobroker;OntoBroker
2268_6;2268;tcp;6;amt;AMT
2268_17;2268;udp;17;amt;AMT
2269_6;2269;tcp;6;mikey;MIKEY
2269_17;2269;udp;17;mikey;MIKEY
2270_6;2270;tcp;6;starschool;starSchool
2270_17;2270;udp;17;starschool;starSchool
2271_6;2271;tcp;6;mmcals;Secure Meeting Maker Scheduling
2271_17;2271;udp;17;mmcals;Secure Meeting Maker Scheduling
2272_6;2272;tcp;6;mmcal;Meeting Maker Scheduling
2272_17;2272;udp;17;mmcal;Meeting Maker Scheduling
2273_6;2273;tcp;6;mysql-im;MySQL Instance Manager
2273_17;2273;udp;17;mysql-im;MySQL Instance Manager
2274_6;2274;tcp;6;pcttunnell;PCTTunneller
2274_17;2274;udp;17;pcttunnell;PCTTunneller
2275_6;2275;tcp;6;ibridge-data;iBridge Conferencing
2275_17;2275;udp;17;ibridge-data;iBridge Conferencing
2276_6;2276;tcp;6;ibridge-mgmt;iBridge Management
2276_17;2276;udp;17;ibridge-mgmt;iBridge Management
2277_6;2277;tcp;6;bluectrlproxy;Bt device control proxy
2277_17;2277;udp;17;bluectrlproxy;Bt device control proxy
2278_6;2278;tcp;6;s3db;Simple Stacked Sequences Database
2278_17;2278;udp;17;s3db;Simple Stacked Sequences Database
2279_6;2279;tcp;6;xmquery;xmquery
2279_17;2279;udp;17;xmquery;xmquery
2280_6;2280;tcp;6;lnvpoller;LNVPOLLER
2280_17;2280;udp;17;lnvpoller;LNVPOLLER
2281_6;2281;tcp;6;lnvconsole;LNVCONSOLE
2281_17;2281;udp;17;lnvconsole;LNVCONSOLE
2282_6;2282;tcp;6;lnvalarm;LNVALARM
2282_17;2282;udp;17;lnvalarm;LNVALARM
2283_6;2283;tcp;6;lnvstatus;LNVSTATUS
2283_17;2283;udp;17;lnvstatus;LNVSTATUS
2284_6;2284;tcp;6;lnvmaps;LNVMAPS
2284_17;2284;udp;17;lnvmaps;LNVMAPS
2285_6;2285;tcp;6;lnvmailmon;LNVMAILMON
2285_17;2285;udp;17;lnvmailmon;LNVMAILMON
2286_6;2286;tcp;6;nas-metering;NAS-Metering
2286_17;2286;udp;17;nas-metering;NAS-Metering
2287_6;2287;tcp;6;dna;DNA
2287_17;2287;udp;17;dna;DNA
2288_6;2288;tcp;6;netml;NETML
2288_17;2288;udp;17;netml;NETML
2289_6;2289;tcp;6;dict-lookup;Lookup dict server
2289_17;2289;udp;17;dict-lookup;Lookup dict server
2290_6;2290;tcp;6;sonus-logging;Sonus Logging Services
2290_17;2290;udp;17;sonus-logging;Sonus Logging Services
2291_6;2291;tcp;6;eapsp;EPSON Advanced Printer Share Protocol
2291_17;2291;udp;17;eapsp;EPSON Advanced Printer Share Protocol
2292_6;2292;tcp;6;mib-streaming;Sonus Element Management Services
2292_17;2292;udp;17;mib-streaming;Sonus Element Management Services
2293_6;2293;tcp;6;npdbgmngr;Network Platform Debug Manager
2293_17;2293;udp;17;npdbgmngr;Network Platform Debug Manager
2294_6;2294;tcp;6;konshus-lm;Konshus License Manager (FLEX)
2294_17;2294;udp;17;konshus-lm;Konshus License Manager (FLEX)
2295_6;2295;tcp;6;advant-lm;Advant License Manager
2295_17;2295;udp;17;advant-lm;Advant License Manager
2296_6;2296;tcp;6;theta-lm;Theta License Manager (Rainbow)
2296_17;2296;udp;17;theta-lm;Theta License Manager (Rainbow)
2297_6;2297;tcp;6;d2k-datamover1;D2K DataMover 1
2297_17;2297;udp;17;d2k-datamover1;D2K DataMover 1
2298_6;2298;tcp;6;d2k-datamover2;D2K DataMover 2
2298_17;2298;udp;17;d2k-datamover2;D2K DataMover 2
2299_6;2299;tcp;6;pc-telecommute;PC Telecommute
2299_17;2299;udp;17;pc-telecommute;PC Telecommute
2300_6;2300;tcp;6;cvmmon;CVMMON
2300_17;2300;udp;17;cvmmon;CVMMON
2301_6;2301;tcp;6;cpq-wbem;Compaq HTTP
2301_17;2301;udp;17;cpq-wbem;Compaq HTTP
2302_6;2302;tcp;6;binderysupport;Bindery Support
2302_17;2302;udp;17;binderysupport;Bindery Support
2303_6;2303;tcp;6;proxy-gateway;Proxy Gateway
2303_17;2303;udp;17;proxy-gateway;Proxy Gateway
2304_6;2304;tcp;6;attachmate-uts;Attachmate UTS
2304_17;2304;udp;17;attachmate-uts;Attachmate UTS
2305_6;2305;tcp;6;mt-scaleserver;MT ScaleServer
2305_17;2305;udp;17;mt-scaleserver;MT ScaleServer
2306_6;2306;tcp;6;tappi-boxnet;TAPPI BoxNet
2306_17;2306;udp;17;tappi-boxnet;TAPPI BoxNet
2307_6;2307;tcp;6;pehelp;pehelp
2307_17;2307;udp;17;pehelp;pehelp
2308_6;2308;tcp;6;sdhelp;sdhelp
2308_17;2308;udp;17;sdhelp;sdhelp
2309_6;2309;tcp;6;sdserver;SD Server
2309_17;2309;udp;17;sdserver;SD Server
2310_6;2310;tcp;6;sdclient;SD Client
2310_17;2310;udp;17;sdclient;SD Client
2311_6;2311;tcp;6;messageservice;Message Service
2311_17;2311;udp;17;messageservice;Message Service
2312_6;2312;tcp;6;wanscaler;WANScaler Communication Service
